Length,count
0,0
1,14
2,33
3,73
4,88
5,54
6,43
7,20
8,28
9,70
10,46
11,50
12,52
13,55
14,100
15,67
16,66
17,77
18,295
19,81
20,79
21,121
22,89
23,87
24,96
25,100
26,86
27,97
28,115
29,81
30,65
31,268
32,87
33,43
34,42
35,53
36,47
37,44
38,57
39,26
40,45
41,33
42,20
43,17
44,27
45,16
46,22
47,19
48,34
49,8
50,11
51,51
52,25
53,17
54,8
55,14
56,6
57,1
58,5
59,1
60,3
61,1
62,7
63,7
64,1
65,0
66,0
67,0
68,1
69,0
70,2
71,2
72,0
73,0
74,0
75,1
76,0
77,1
78,1
79,1
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,1
133,0
134,0
135,0
136,1
137,0
138,0
139,1
